title,description,date,source
"Se formaliza la creación de la ""Junta de Paz"" para Gaza en Davos","La iniciativa arranca con el apoyo de gobiernos de Europa del Este, Oriente Medio, Asia Central y América Latina, mientras las principales potencias occidentales se mantienen al margen.",23 ene. 2026 - 11:00,https://diariosocialista.net/2026/01/23/se-formaliza-la-creacion-de-la-junta-de-paz-para-gaza-en-davos/
"Netanyahu recibe a Vox para agradecer su ""apoyo constante"" a Israel","El genocida alaba a 'Patriotas por Europa' como ""hermanos en la lucha por la civilización judeocristiana contra el islam y la izquierda radical"", y anuncia la creación de una rama israelí del grupo.",29 ene. 2026 - 08:00,https://diariosocialista.net/2026/01/29/netanyahu-recibe-a-vox-para-agradecer-su-apoyo-constante-a-israel/
Israel reabrirá Rafah parcialmente tras dos años de bloqueo,"El paso fronterizo de Gaza con Egipto se abrirá este domingo solo para ""movimiento limitado"" de personas, bajo supervisión israelí y europea.",31 ene. 2026 - 08:00,https://diariosocialista.net/2026/01/31/israel-reabrira-rafah-parcialmente-tras-dos-anos-de-bloqueo/
Israel mata a más de 30 palestinos en un solo día en Gaza,"Con el ataque más mortífero registrado durante el ""alto el fuego"", los genocidas han asesinado ya a más de 500 gazatíes desde octubre.",01 feb. 2026 - 08:00,https://diariosocialista.net/2026/02/01/israel-mata-a-mas-de-30-palestinos-en-un-solo-dia-en-gaza/
De trenes y muerte,,23 ene. 2026 - 11:08,https://diariosocialista.net/2026/01/23/de-trenes-y-muerte/
EEUU: el nuevo Estado autoritario ya está aquí,,26 ene. 2026 - 08:00,https://diariosocialista.net/2026/01/26/eeuu-el-nuevo-estado-autoritario-ya-esta-aqui/
"Contra el fascismo y el autoritarismo de los estados, este sábado a Bilbo e Iruñea",,28 ene. 2026 - 16:33,https://diariosocialista.net/2026/01/28/contra-el-fascismo-y-el-autoritarismo-de-los-estados-este-sabado-a-bilbo-e-irunea/
Varias sedes gallegas del PP aparecen empapeladas con el lema “Partido Pirómano”,"Señalan las sedes del PPdeG en Santiago, Ourense, Ferrol, Sada, Lugo y Gondomar por los incendios forestales: ""17 anos queimando Galiza"".",02 feb. 2026 - 12:44,https://diariosocialista.net/2026/02/02/varias-sedes-gallegas-del-pp-aparecen-empapeladas-con-el-lema-partido-piromano/
46 años del asesinato fascista de Yolanda González,Pistoleros de Fuerza Nueva secuestraron y asesinaron en Madrid a la militante del Partido Socialista de los Trabajadores durante la madrugada del 1 al 2 de febrero de 1980.,02 feb. 2026 - 11:20,https://diariosocialista.net/2026/02/02/46-anos-del-asesinato-fascista-de-yolanda-gonzalez/
La Iglesia española se fractura por la regularización de personas migrantes,"Cáritas y la Conferencia Episcopal aprueban la regularización de medio millón de migrantes, mientras algunos obispos, Vox y la Falange denuncian “traición” y el PP evita confrontar.",02 feb. 2026 - 11:00,https://diariosocialista.net/2026/02/02/la-iglesia-espanola-se-fractura-por-la-regularizacion-de-personas-migrantes/
Más de 200 muertos en el derrumbe de una mina de coltán  en la República Democrática del Congo,"El siniestro en Rubaya, bajo control de los mercenarios del M23, sepulta a mineros, incluidos niños; el mineral se trafica ilegalmente hacia Ruanda y financia al grupo armado.",02 feb. 2026 - 11:00,https://diariosocialista.net/2026/02/02/mas-de-200-muertos-en-el-derrumbe-de-una-mina-de-coltan-en-la-republica-democratica-del-congo/
Varias empresas se embolsan 22.000 millones de dólares del despliegue antimigratorio de Trump,"Palantir, Deloitte y otras firmas se benefician de contratos de ICE y CBP mientras crece la oposición de los trabajadores a su colaboración con la represión migratoria.",02 feb. 2026 - 08:13,https://diariosocialista.net/2026/02/02/empresas-se-embolsan-22-000-millones-de-dolares-del-despliegue-antimigratorio-de-trump/
Más de 10.000 personas en las movilizaciones de GKS contra el fascismo y el autoritarismo de los estados,Reivindican grandes partidos comunistas y un frente fuerte de la clase trabajadora para parar al fascismo.,01 feb. 2026 - 08:00,https://diariosocialista.net/2026/02/01/mas-de-10-000-personas-en-las-movilizaciones-de-gks-contra-el-fascismo-y-el-autoritarismo-de-los-estados/
