title,description,autor,date,source
"La finca del duque de Hastings, la tienda de Madame Delacroix y otros lugares en Inglaterra donde revivir ‘Los Bridgerton’","Gran parte del rodaje de la serie se centra en la ciudad de Bath, reconocida como patrimonio de la Unesco por su arquitectura. En Londres están la residencia de la famosa familia aristocrática y el palacio de la reina Carlota",Carolina Escutia Román,2026-01-28T05:30:01+01:00,https://elpais.com/elviajero/2026-01-28/la-finca-del-duque-de-hastings-la-tienda-de-madame-delacroix-y-otros-lugares-en-inglaterra-donde-revivir-los-bridgerton.html
Cómo esquivar las multitudes en China: destinos alternativos de los circuitos clásicos pero igual de interesantes,"En un país que nadie quiere perderse, pero que también acusa el exceso de turismo, es importante saber moverse. Planificar, reservar y evitar las fechas y lugares más masificados es la clave",Lonely Planet,2026-01-29T05:30:00+01:00,https://elpais.com/elviajero/lonely-planet/2026-01-29/como-esquivar-las-multitudes-en-china-destinos-alternativos-de-los-circuitos-clasicos-pero-igual-de-interesantes.html
"Juan Muñoz, de Cruz y Raya: “Cuando tienes éxito, olvidas quién eres y te vuelves un poquito egoísta. Hablo por mí, ¿eh?”","El cómico estrena gira basada en los ‘sketches’ más famosos del dúo.  También prepara un documental de su vida y se abre a una reunión con  José Mota, a la espera del doblaje de ‘Shrek 5’",Jaime Lorite Chinchón,2026-01-27T05:30:00+01:00,https://elpais.com/icon/2026-01-27/juan-munoz-de-cruz-y-raya-cuando-tienes-exito-olvidas-quien-eres-y-te-vuelves-un-poquito-egoista-hablo-por-mi-eh.html
De Timothée Chalamet a Jacob Elordi: por qué todos llevan broches en 2026 (o cómo lucir un millón en la solapa),"“Es más visible que un anillo y menos invasivo que unos pendientes”, dice un especialista. ¿Puede el broche convertirse en la próxima revolución de la joyería masculina?",Victoria Zárate,2026-01-29T05:30:01+01:00,https://elpais.com/icon/2026-01-29/de-timothee-chalamet-a-jacob-elordi-por-que-todos-llevan-broches-en-2026-o-como-lucir-un-millon-en-la-solapa.html
“Hemos normalizado el cansancio como estilo de vida”: la nueva ambición es reposar,"Cansadas de la hiperproductividad, del “puedes con todo” y de medir el valor en horas trabajadas, miles de personas están encontrando en el descanso un acto de rebeldía",,2026-01-23T05:30:01+01:00,https://elpais.com/smoda/bienestar/2026-01-23/hemos-normalizado-el-cansancio-como-estilo-de-vida-la-nueva-ambicion-es-reposar.html
"Espido Freire: “Ahora se va a por el eslabón débil. A por los jubilados, el sistema de pensiones…”","La ganadora del Premio Planeta más joven de España es también una de las mujeres que más ha escrito sobre viajes, porque ha viajado incesantemente desde que era muy joven. Acaba de publicar una ‘Guía de lugares que ya no existen’ (RBA)",Raquel Peláez,2026-01-29T05:30:00+01:00,https://elpais.com/smoda/placeres/2026-01-29/espido-freire-ahora-se-va-a-por-el-eslabon-debil-a-por-los-jubilados-el-sistema-de-pensiones.html
"David Uclés: “La Guerra Civil sí la sufrimos todos, pero no la perdimos todos”","El escritor andaluz, autor de ‘La península de las casas vacías’, acaba de ser galardonado con el Premio Nadal por su nuevo libro, ‘La ciudad de las luces muertas’, escrito al mismo tiempo que el libro que le llevó al éxito",Jesús Ruiz Mantilla,2026-01-29T05:30:01+01:00,https://elpais.com/eps/2026-01-29/david-ucles-la-guerra-civil-si-la-sufrimos-todos-pero-no-la-perdimos-todos.html
"Pat McGrath, la gran dama del maquillaje mundial: “Con una pincelada de repente eres quien quieres ser”","En desfiles o campañas, lleva más de 30 años ideando las narrativas visuales que guían al sector. Ahora acaba de dar forma a la división cosmética de Louis Vuitton.",Patricia Rodríguez,2026-01-31T05:40:00+01:00,https://elpais.com/eps/2026-01-31/pat-mcgrath-la-gran-dama-del-maquillaje-mundial-con-una-pincelada-de-repente-eres-quien-quieres-ser.html
Albergues casi vacíos y programas humanitarios “en la cuerda floja” por recortes: la vida en la frontera mexicana un año después del retorno de Trump,Las políticas antimigración del Gobierno estadounidense han tenido un efecto disuasorio en las personas que aspiraban a cruzar hacia el norte. Las organizaciones de acogida en lugares como Tijuana sufren también la disminución abrupta de los fondos de cooperación que ponen en peligro su supervivencia,Alicia Fàbregas,2026-01-29T05:30:01+01:00,https://elpais.com/planeta-futuro/2026-01-29/albergues-casi-vacios-y-programas-humanitarios-en-la-cuerda-floja-por-recortes-la-vida-en-la-frontera-mexicana-un-ano-despues-del-retorno-de-trump.html
Un pequeño milagro contra las Enfermedades Tropicales Desatendidas,"La cancelación de USAID pone en riesgo años de inversión y trabajo para erradicarlas, pero la Proposición No de Ley aprobada en España mejora el panorama",,2026-01-30T05:30:01+01:00,https://elpais.com/planeta-futuro/2026-01-30/un-pequeno-milagro-contra-las-enfermedades-tropicales-desatendidas.html
"De Eva Longoria a Becky G, los latinos se plantan ante la falta de diversidad de Hollywood: “Es señal de una eliminación más amplia de nuestra comunidad”","Más de 100 artistas han firmado una carta después de que la actriz Odessa A’zion, que no es latina, haya renunciado a interpretar a una mujer mexicana, mientras que muchas mujeres de la comunidad no han tenido la oportunidad",María Porcel,2026-01-31T05:30:00+01:00,https://elpais.com/us/entretenimiento/2026-01-31/de-eva-longoria-a-becky-g-los-latinos-se-plantan-ante-la-falta-de-diversidad-de-hollywood-es-senal-de-una-eliminacion-mas-amplia-de-nuestra-comunidad.html
"Josh Hutcherson, el actor que se rebeló contra la industria después de su gran éxito y habla español con “acento madrileño”, está de vuelta","El intérprete consiguió su primer papel a los nueve años y saboreaba el éxito de ‘Los juegos del hambre’ cuando dejó de recibir llamadas para trabajar. Ahora vive entre Madrid y Los Ángeles y tiene entre manos nuevos proyectos, también en la música",Andrea Jiménez,2026-01-31T05:30:00+01:00,https://elpais.com/gente/2026-01-31/josh-hutcherson-el-actor-que-se-rebelo-contra-la-industria-despues-de-su-gran-exito-y-habla-espanol-con-acento-madrileno-esta-de-vuelta.html
¿Son útiles las ‘apps’ de inteligencia artificial sobre decoración? Tres expertos responden,"Las aplicaciones HomeByMe, Roomstyler y Planner 5D se usan cada vez más para planificar reformas o amueblar una vivienda. Para los profesionales del sector, son útiles como referencia pero también peligrosas, ya que sus resultados chocan con las limitaciones de la vida real",Ixone Arana,2026-01-31T05:30:00+01:00,https://elpais.com/estilo-de-vida/2026-01-31/son-utiles-las-apps-de-inteligencia-artificial-sobre-decoracion-tres-expertos-responden.html
Ir al cine. Vale. ¿Pero qué te ofrece?,Qué aburrimiento latente el que inunda las salas después de la pandemia. Ninguna época me ha parecido tan vacía,Carlos Boyero,2026-01-31T05:30:01+01:00,https://elpais.com/television/2026-01-31/ir-al-cine-vale-pero-que-te-ofrece.html
"‘Las gotas de Dios’: Vino, lujo y muerte ¿Hasta dónde seríamos capaces de llegar por una pasión?",La nueva temporada de la serie hace de los viñedos más prestigiosos del mundo el escenario donde desarrollar temas de profundidad,Sara Cucala,2026-01-31T05:30:01+01:00,https://elpais.com/television/2026-01-31/las-gotas-de-dios-vino-lujo-y-muerte-hasta-donde-seriamos-capaces-de-llegar-por-una-pasion.html
"Audiencias de enero: Antena 3 sigue líder, La 1 se mantiene firme y Telecinco marca su peor arranque histórico",Cuatro ha conseguido revalidar por segundo mes consecutivo su victoria frente a La Sexta y La 2 logra su mejor enero desde 2010,Natalia Marcos,2026-02-01T12:34:22+01:00,https://elpais.com/television/2026-02-01/audiencias-de-enero-antena-3-sigue-lider-la-1-se-mantiene-firme-y-telecinco-marca-su-peor-arranque-historico.html
Seguir vendiendo entradas o “el suicidio”: el dilema de los museos españoles ante los récords de visitantes,Los centros culturales recuperan las cifras anteriores de la pandemia y apuestan por mejorar la calidad de las visitas antes que abarrotar sus salas,Ana Marcos,2026-01-31T05:30:01+01:00,https://elpais.com/cultura/2026-01-31/seguir-vendiendo-entradas-o-el-suicidio-el-dilema-de-los-museos-espanoles-ante-los-records-de-visitantes.html
Las lecciones perdidas de Jorge Luis Borges: rescatan y publican sus clases de literatura inglesa y norteamericana,"A poco de cumplirse 40 años de la muerte del escritor argentino, se revaloriza su obra oral y un nuevo libro recupera un curso dictado en 1966",Javier Lorca,2026-01-31T05:30:00+01:00,https://elpais.com/argentina/2026-01-31/las-lecciones-perdidas-de-jorge-luis-borges-rescatan-y-publican-sus-clases-de-literatura-inglesa-y-norteamericana.html
"Alberto Sanchis, el arquitecto de la luz y las cooperativas",Una exposición en el Colegio de Arquitectos de Valencia repasa el legado del precursor de las cooperativas de viviendas en la ciudad que salía de la oscuridad del franquismo,F. B.,2026-02-01T09:19:35+01:00,https://elpais.com/espana/comunidad-valenciana/2026-02-01/alberto-sanchis-el-arquitecto-de-la-luz-y-las-cooperativas.html
Gerard Moreno acude al rescate del Villarreal frente a un combativo Osasuna,El delantero catalán marca los dos goles de su equipo para frenar una racha de cuatro derrotas consecutivas,José Luis Lorenzo,2026-01-31T19:10:13+01:00,https://elpais.com/deportes/futbol/2026-01-31/gerard-moreno-acude-al-rescate-del-villarreal-frente-a-un-combativo-osasuna.html
La crisis general del Atlético se agudiza con un empate a cero y un mal partido ante el Levante,Los problemas de los rojiblancos se extienden de la hierba a la moqueta,Ladislao J. Moñino,2026-01-31T21:35:35+01:00,https://elpais.com/deportes/futbol/2026-01-31/la-crisis-general-del-atletico-se-agudiza-con-un-empate-a-cero-y-un-mal-partido-ante-el-levante.html
El efecto Matarazzo frente al momento más delicado de Valverde,Los brillantes resultados obtenidos por el técnico estadounidense contrastan con la crisis de puntos y juego del equipo rojiblanco,José Luis Lorenzo,2026-02-01T05:30:01+01:00,https://elpais.com/deportes/futbol/2026-02-01/el-efecto-matarazzo-frente-al-momento-mas-delicado-de-valverde.html
El premio Fronteras reconoce a los artífices del sistema que protege la seguridad y la privacidad en internet,La Fundación BBVA otorga a los ingenieros belgas Joan Daemen y Vincent Rijmen su galardón anual en la categoría de tecnología de la información,Selva Vargas Reátegui,2026-01-29T12:57:08+01:00,https://elpais.com/tecnologia/2026-01-29/el-premio-fronteras-reconoce-a-los-artifices-del-sistema-que-protege-la-seguridad-y-la-privacidad-en-internet.html
Generar tanta adicción como para ir a juicio: las redes sociales pasan por el banquillo,"Una decena de vistas en Los Ángeles intentan averiguar si las redes sociales buscan convertirse en adictivas para los jóvenes, y si eso es delito",María Porcel,2026-01-29T05:30:01+01:00,https://elpais.com/tecnologia/2026-01-29/generar-tanta-adiccion-como-para-ir-a-juicio-las-redes-sociales-pasan-por-el-banquillo.html
"Google, Amazon, OpenAI: así es la carrera por encontrar alternativas a Nvidia",Los esfuerzos de los grandes desarrolladores de IA por reducir su dependencia son cada vez mayores. Aunque el dominio del fabricante de chips no se ve amenazado,Pablo G. Bejerano,2026-01-30T05:30:01+01:00,https://elpais.com/tecnologia/2026-01-30/google-amazon-openai-asi-es-la-carrera-por-encontrar-alternativas-a-nvidia.html
Avances contra la enfermedad de Alzheimer,Una reciente investigación ha puesto de manifiesto el papel que la  proteína Sox9 podría tener en la reducción de las placas beta-amiloides,Ignacio Morgado Bernal,2026-01-30T05:30:01+01:00,https://elpais.com/ciencia/materia-gris/2026-01-30/avances-contra-la-enfermedad-de-alzheimer.html
¿Sirven realmente las tiras y expansores nasales para rendir más durante el ejercicio físico?,"Su función principal es tratar de ensanchar ligeramente el área de las fosas nasales, reduciendo la resistencia al paso del aire",Miguel Ángel Gómez Ruano,2026-01-31T05:30:01+01:00,https://elpais.com/salud-y-bienestar/2026-01-31/sirven-realmente-las-tiras-y-expansores-nasales-para-rendir-mas-durante-el-ejercicio-fisico.html
Jeff Bezos cancela sus vuelos de turismo espacial para centrarse en llevar personas a la Luna,"Blue Origin, la empresa espacial del magnate tecnológico, planea aterrizar una sonda en la superficie lunar por primera vez en 2026",Francisco Doménech,2026-01-31T15:08:28+01:00,https://elpais.com/ciencia/2026-01-31/jeff-bezos-cancela-sus-vuelos-de-turismo-espacial-para-centrarse-en-llevar-personas-a-la-luna.html
La justicia obliga a Países Bajos a proteger sus territorios del Caribe de la subida del mar,El fallo estima que los habitantes de la isla de Bonaire no han sido tratados como los neerlandeses de Europa ante los efectos del cambio climático,Isabel Ferrer,2026-01-29T17:01:10+01:00,https://elpais.com/clima-y-medio-ambiente/2026-01-29/la-justicia-obliga-a-paises-bajos-a-proteger-sus-territorios-del-caribe-de-la-subida-del-mar.html
La revuelta de las angulas: el Gobierno se suma a los chefs para acabar con su consumo en España,"“La tradición no puede justificar la extinción”, argumentan cocineros con diez estrellas Michelin. Transición Ecológica inicia el trámite para introducir este pez en el catálogo de especies amenazadas y vetar así su pesca en el país",Manuel Planelles,2026-01-30T05:30:01+01:00,https://elpais.com/clima-y-medio-ambiente/2026-01-30/la-revuelta-de-las-angulas-el-gobierno-se-suma-a-los-chefs-para-acabar-con-su-consumo-en-espana.html
Bruselas abre expediente a España por no enviarle el informe sobre el estado del lobo y otras especies protegidas,"El Gobierno, que debería haber enviado esta evaluación el verano de 2025, asegura que el documento “no ofrece todavía una base científica solvente”",Esther Sánchez,2026-01-30T14:21:41+01:00,https://elpais.com/clima-y-medio-ambiente/2026-01-30/bruselas-abre-expediente-a-espana-por-no-enviar-el-informe-sobre-el-estado-del-lobo-y-otras-especies-protegidas.html
"Los coordinadores escolares ‘antibullying’, sin tiempo ni recursos: “Lo hacemos en ratos libres”","Docentes y organizaciones denuncian la falta de apoyo institucional del puesto, creado hace tres años para prevenir la violencia en las aulas",Carolina de Lima,2026-01-30T10:15:46+01:00,https://elpais.com/educacion/2026-01-30/los-coordinadores-escolares-antibullying-sin-tiempo-ni-recursos-lo-hacemos-en-ratos-libres.html
Cómo evitar que el uso de las redes sociales influya en la relación de los adolescentes con su cuerpo,"La sobreexposición de los jóvenes a las redes aumenta su insatisfacción corporal, la sintomatología ansioso-depresiva y disminuye la autoestima, dejándola en manos de un algoritmo",Mayte Ametlla,2026-01-31T05:30:00+01:00,https://elpais.com/mamas-papas/expertos/2026-01-31/como-evitar-que-el-uso-de-las-redes-sociales-influya-en-la-relacion-de-los-adolescentes-con-su-cuerpo.html
"La estudiante en La Rioja que ha vuelto a clase con el velo islámico: “Me siento muy feliz, forma parte de mi identidad”","El instituto le prohibió el acceso con hiyab y la justicia falló a favor de la adolescente. La consejería de Educación, del PP, renuncia a recurrir",Víctor Espuelas,2026-01-31T05:30:01+01:00,https://elpais.com/educacion/2026-01-31/la-estudiante-en-la-rioja-que-ha-vuelto-a-clase-con-el-velo-islamico-me-siento-muy-feliz-forma-parte-de-mi-identidad.html
El Papa no volverá al apartamento pontificio: vivirá en una ‘buhardilla’ vaticana,Ha reformado como vivienda el piso de menores dimensiones que está entre las tradicionales estancias pontificias y el tejado del palacio apostólico,Íñigo Domínguez,2026-01-30T18:24:42+01:00,https://elpais.com/sociedad/2026-01-30/el-papa-no-volvera-al-apartamento-pontificio-vivira-en-una-buhardilla-vaticana.html
Cronología del ‘caso Noelia’|Casi dos años desde la petición hasta el aval del Supremo,La joven parapléjica de 25 años reclamó la eutanasia en abril de 2024. Un largo periplo judicial ha impedido hasta la fecha que pueda ser asistida para morir,Domitila Diez,2026-01-31T05:30:01+01:00,https://elpais.com/sociedad/2026-01-31/cronologia-del-caso-noeliacasi-dos-anos-desde-la-peticion-hasta-el-aval-del-supremo.html
"La eutanasia de Noelia, todavía sin fecha: “Es un secuestro de su muerte digna”","Tres instancias judiciales avalan la prestación de ayuda a morir concedida a la joven, pero Abogados Cristianos ultima un recurso ante el Constitucional",Jessica Mouzo,2026-01-31T05:30:01+01:00,https://elpais.com/sociedad/2026-01-31/la-eutanasia-de-noelia-todavia-sin-fecha-es-un-secuestro-de-su-muerte-digna.html
México sostiene su papel como la última línea de energía para Cuba,El decreto de Donald Trump que prohíbe el suministro de petróleo a la isla frena los planes de Sheinbaum para entregar ayuda humanitaria,Eyanir Chinea,2026-01-31T05:40:00+01:00,https://elpais.com/mexico/economia/2026-01-31/mexico-sortea-su-papel-como-la-ultima-linea-de-energia-para-cuba.html
El Supremo confirma una multa de 30.000 euros a Decathlon por vulnerar la libertad sindical,"La sentencia es firme, da la razón a la federación de servicios de CC OO y avala un fallo de la Audiencia Nacional",Raquel Pascual Cortés,2026-01-30T17:50:52+01:00,https://elpais.com/economia/2026-01-30/el-supremo-confirma-una-multa-de-30000-euros-a-decathlon-por-vulnerar-la-libertad-sindical.html
España logra su mejor tasa de paro en 17 años. ¿Quién sigue desempleado?,"2,47 millones de personas continúan sin trabajo, de las cuales casi un millón lleva más de un año buscando, pese a la mejora de la economía respecto al anterior periodo en que se bajó del 10%",Emilio Sánchez Hidalgo,2026-02-01T05:30:01+01:00,https://elpais.com/economia/2026-02-01/espana-logra-su-mejor-tasa-de-paro-en-17-anos-quien-sigue-desempleado.html
El Supremo confirma la sanción a un guardia que se emborrachó y enseñó el culo al jefe de escoltas de Sánchez,El agente fue suspendido 20 días de sueldo y empleo por “conductas gravemente contrarias a la dignidad de la Guardia Civil”,Rocío Martínez Posada,2026-01-31T07:00:00+01:00,https://elpais.com/espana/2026-01-31/el-supremo-confirma-la-sancion-a-un-guardia-que-se-emborracho-y-enseno-el-culo-al-jefe-de-escoltas-de-sanchez.html
El último gran escudo de Sánchez,"Óscar Puente, peso pesado del Gobierno y veterano sanchista, se enfrenta al reto más arriesgado de su carrera: sobrevivir políticamente al primer accidente mortal desde la liberalización de la alta velocidad española en 2020",José Marcos,2026-02-01T05:30:01+01:00,https://elpais.com/espana/2026-02-01/el-ultimo-gran-escudo-de-sanchez.html
"Adamuz, un rastreo técnico y judicial más allá de fijar responsabilidades penales",Los miembros de la CIAF y de la Guardia Civil se emplean en el análisis de las pruebas mientras diversos expertos apuntan posibles recomendaciones para evitar una nueva tragedia ferroviaria,Javier F. Magariño,2026-02-01T05:30:01+01:00,https://elpais.com/espana/2026-02-01/adamuz-en-busca-de-las-pistas-que-eviten-otra-tragedia-ferroviaria.html
"Si Rusia quiere invadir, Gotland está preparada","La estratégica isla sueca del mar Báltico, a solo 275 kilómetros del territorio ruso de Kaliningrado, levanta una arquitectura de defensa total ante una posible agresión del Kremlin. La preparación de los civiles apuntala la presencia creciente de militares",Óscar Gutiérrez,2026-01-31T05:45:01+01:00,https://elpais.com/internacional/2026-01-31/si-rusia-quiere-invadir-gotland-esta-preparada.html
Albares saluda la amnistía en Venezuela y ofrece a su homólogo venezolano el apoyo de España a la transición,Esta es la primera conversación entre los ministros de Exteriores de los dos países desde la captura de Maduro por parte de Estados Unidos el 3 de enero,Miguel González,2026-01-31T15:46:41+01:00,https://elpais.com/internacional/2026-01-31/albares-felicita-a-su-homologo-venezolano-por-la-amnistia-y-le-ofrece-el-apoyo-de-espana-a-la-transicion.html
El sector textil argentino agoniza por la apertura de importaciones: “Es la peor crisis que hemos vivido”,"La política económica de Milei genera un desplome en el sector, que produce por debajo del 30% de su capacidad por la competencia de productos baratos de Asia",Delfina Torres Cabreros,2026-02-01T05:30:00+01:00,https://elpais.com/argentina/2026-02-01/el-sector-textil-argentino-agoniza-por-la-apertura-de-importaciones-es-la-peor-crisis-que-hemos-vivido.html
Probamos los mejores collares luminosos para perros,Evalúo en profundidad la visibilidad y la calidad de iluminación de estos dispositivos LED que mejoran la seguridad de las mascotas en los paseos nocturnos,Alejandro Mendoza,2026-02-01T07:15:00+01:00,https://elpais.com/escaparate/comparativas/2026-02-01/mejor-collar-luminoso-perro.html
Los mejores móviles de gama alta que puedes comprar en 2026,"He probado los principales teléfonos ‘tope de gama’ que van presentando las distintas firmas, y los ordeno de mejor a peor  ",Laura Pajuelo,2026-02-01T06:45:00+01:00,https://elpais.com/escaparate/comparativas/2026-02-01/mejores-moviles-gama-alta-2026.html
Lanzan un desodorante para alfombras que fulminará cualquier mal olor que desprenda,Este pack de 3 desodorantes para alfombras está diseñado para neutralizar el olor que se impregna en las alfombras de nuestra casa sin apenas esfuerzo,David Rodríguez Madera,2026-02-01T06:30:00+01:00,https://elpais.com/escaparate/estilo-de-vida/2026-02-01/desodorante-para-alfombras.html
"Camina ‘descalzo’ con estas botas de invierno barefoot, diseñadas para mantener tus pies calientes","Su puntera ancha permite que los dedos se muevan libremente, mientras que la suela antideslizante distribuye de forma uniforme la presión bajo los pies",Ariadna Hinchado,2026-02-01T06:15:00+01:00,https://elpais.com/escaparate/estilo-de-vida/2026-02-01/botas-barefoot-mujer-y-hombre.html
Entender este mundo convulso: 33 entrevistas con los grandes pensadores que marcan nuestro tiempo,"En sus entrevistas en EL PAÍS, los filósofos más influyentes del pensamiento contemporáneo reflexionan sobre el poder, la democracia y los grandes dilemas del presente. Judith Butler, Byung-Chul Han, Gilles Lipovetsky y Victoria Camps son algunas de las voces que protagonizan este recorrido por ideas y reflexiones esenciales para comprender el momento actual",El País,2026-01-29T05:45:00+01:00,https://elpais.com/suscripciones/imprescindibles/2026-01-29/entender-este-mundo-convulso-33-entrevistas-con-los-grandes-pensadores-que-marcan-nuestro-tiempo.html
"Judith Fernández, actriz de ‘Rondallas’: “Soy feliz levantándome a las siete y acostándome a las ocho”","Entre Galicia y Escocia, la televisión con ‘Las hijas de la criada’ y el cine con ‘Rondallas’, Judith Fernández reivindica avanzar paso a paso en una industria donde la constancia es clave",Carlos Megía,2026-01-31T05:31:00+01:00,https://elpais.com/smoda/placeres/2026-01-31/judith-fernandez-actriz-de-rondallas-soy-feliz-levantandome-a-las-siete-y-acostandome-a-las-ocho.html
¿De dónde son tus vecinos? El mapa calle a calle de los extranjeros,"Uno de cada cinco habitantes de España nació en otro país. EL PAÍS visualiza sus orígenes sobre un mapa extremadamente detallado, desde los europeos en la costa a los americanos en las grandes ciudades",Borja Andrino,2026-01-31T05:30:01+01:00,https://elpais.com/espana/2026-01-31/de-donde-son-tus-vecinos-el-mapa-calle-a-calle-de-los-extranjeros.html
